Customer_key,Customer_ID,First_name,Last_name,Country,Birthdate,Marital_status,Gender,Creation_date
203,11202,Alexia,Price,United States,1958-08-22,Married,Female,2025-10-08
204,11203,Luis,Diaz,Canada,1959-08-18,Married,Male,2025-10-08
205,11204,Destiny,Rivera,United States,1953-11-29,Married,Female,2025-10-08
206,11205,Abby,Fernandez,United States,1954-01-21,Married,Female,2025-10-08
207,11206,Blake,Flores,United States,1954-03-24,Married,Male,2025-10-08
208,11207,Danielle,Cox,United States,1954-01-16,Single,Female,2025-10-08
209,11208,Maria,Reed,United States,1953-08-03,Married,Female,2025-10-08
210,11209,Allison,Evans,United States,1953-07-12,Married,Female,2025-10-08
211,11210,Edward,Wood,United States,1953-12-06,Married,Male,2025-10-08
212,11211,Samantha,Russell,Canada,1960-10-08,Married,Female,2025-10-08
213,11212,Chloe,Campbell,Canada,1955-05-05,Married,Female,2025-10-08
214,11213,Stephanie,Murphy,United States,1954-11-11,Single,Female,2025-10-08
215,11214,Charles,Miller,United States,1955-05-07,Single,Male,2025-10-08
216,11215,Ana,Perry,Canada,1961-06-17,Married,Female,2025-10-08
217,11216,Jasmine,Torres,United States,1955-11-17,Single,Female,2025-10-08
218,11217,Natalie,Adams,United States,1955-08-11,Single,Female,2025-10-08
219,11218,Olivia,Brown,United States,1961-09-07,Single,Female,2025-10-08
220,11219,Charles,Cook,United States,1956-05-31,Married,Male,2025-10-08
221,11220,Erica,Huang,United States,1961-02-19,Married,Female,2025-10-08
222,11221,Nathan,Perry,United States,1955-12-08,Married,Male,2025-10-08
223,11222,Alexandra,Rivera,United States,1956-02-14,Married,Female,2025-10-08
224,11223,Hailey,Patterson,Canada,1957-03-15,Single,Female,2025-10-08
225,11224,Tiffany,Li,United States,1957-03-05,Single,Female,2025-10-08
226,11225,Madison,Lee,United States,1962-02-12,Married,Female,2025-10-08
227,11226,Sydney,Ross,United States,1962-09-23,Married,Female,2025-10-08
228,11227,Marshall,Chavez,United States,1962-08-08,Single,Male,2025-10-08
229,11228,Ashley,Jones,United States,1956-10-16,Married,Female,2025-10-08
230,11229,Adrian,Stewart,United States,1957-06-01,Single,Male,2025-10-08
231,11230,Amber,Turner,United States,1956-09-30,Married,Female,2025-10-08
232,11231,Dennis,Zhang,United States,1963-11-11,Married,Male,2025-10-08
233,11232,Hailey,Bryant,United States,1958-03-27,Married,Female,2025-10-08
234,11233,Todd,Li,United States,1963-09-06,Married,Male,2025-10-08
235,11234,Anna,Griffin,United States,1958-05-19,Single,Female,2025-10-08
236,11235,Angel,Stewart,United States,1957-08-07,Married,Male,2025-10-08
237,11236,Jeremy,Butler,United States,1957-09-02,Single,Male,2025-10-08
238,11237,Clarence,Anand,Germany,1964-03-22,Single,Male,2025-10-08
239,11238,Mayra,Prasad,United Kingdom,1964-02-07,Single,Female,2025-10-08
240,11239,Latoya,Goel,United Kingdom,1969-10-02,Married,Female,2025-10-08
241,11240,Anne,Hernandez,United Kingdom,1964-06-09,Married,Female,2025-10-08
242,11241,Lisa,Cai,France,1974-04-06,Single,Female,2025-10-08
243,11242,Larry,Munoz,France,1963-05-11,Married,Male,2025-10-08
244,11243,Robin,Alvarez,United Kingdom,1963-04-08,Married,Female,2025-10-08
245,11244,Alexis,Coleman,United Kingdom,1968-11-22,Single,Female,2025-10-08
246,11245,Ricky,Vazquez,Germany,1962-04-26,Married,Male,2025-10-08
247,11246,Latasha,Rubio,Germany,1962-04-08,Married,Female,2025-10-08
248,11247,Claudia,Zhou,United Kingdom,1961-12-04,Single,Female,2025-10-08
249,11248,Tristan,Alexander,France,1966-03-22,Married,Male,2025-10-08
250,11249,Cindy,Patel,Germany,1966-07-09,Married,Female,2025-10-08
251,11250,Shannon,Liu,United Kingdom,1966-03-08,Married,Female,2025-10-08
252,11251,Xavier,Long,Canada,1938-01-01,Single,Male,2025-10-08
253,11252,Nicholas,Thompson,United States,1937-12-05,Single,Male,2025-10-08
254,11253,José,Hernandez,Canada,1949-08-24,Married,Male,2025-10-08
255,11254,Johnathan,Vance,United States,1938-08-31,Married,Male,2025-10-08
256,11255,Colin,Lin,United States,1938-10-02,Married,Male,2025-10-08
257,11256,Katelyn,Hernandez,United States,1939-03-20,Married,Female,2025-10-08
258,11257,Jacqueline,Powell,United States,,Single,Female,2025-10-08
259,11258,Xavier,Hill,United States,1938-12-26,Married,Male,2025-10-08
260,11259,Victoria,Stewart,United States,1970-09-24,Married,Female,2025-10-08
261,11260,Katelyn,Kelly,United States,1976-04-08,Married,Female,2025-10-08
262,11261,Stephanie,Collins,United States,1970-10-22,Married,Female,2025-10-08
263,11262,Jennifer,Simmons,Canada,1975-05-01,Married,Female,2025-10-08
264,11263,Trinity,Richardson,United States,1970-03-11,Married,Female,2025-10-08
265,11264,Eduardo,Martin,United States,1969-12-15,Single,Male,2025-10-08
266,11265,Elizabeth,Jones,United States,1970-01-10,Married,Female,2025-10-08
267,11266,Taylor,Howard,United States,1969-11-02,Single,Female,2025-10-08
268,11267,David,Diaz,United States,1975-09-29,Single,Male,2025-10-08
269,11268,Katelyn,Carter,United States,1969-10-31,Married,Female,2025-10-08
270,11269,Ryan,Foster,United States,1975-10-10,Married,Male,2025-10-08
271,11270,Robert,Lee,United States,1975-05-01,Married,Male,2025-10-08
272,11271,Danielle,Reed,United States,1969-12-03,Single,Female,2025-10-08
273,11272,Lauren,Martinez,United States,1962-05-10,Single,Female,2025-10-08
274,11273,Nathan,Lal,United States,1962-03-31,Married,Male,2025-10-08
275,11274,Kyle,Foster,United States,1939-10-10,Married,Male,2025-10-08
276,11275,Jenny,Rai,United States,1939-07-18,Married,Female,2025-10-08
277,11276,Nancy,Chapman,Canada,1974-09-15,Married,Female,2025-10-08
278,11277,Charles,Jackson,Canada,1968-12-07,Married,Male,2025-10-08
279,11278,Jonathan,Phillips,United States,1969-02-16,Single,Male,2025-10-08
280,11279,Amanda,Cook,United States,1974-09-08,Married,Female,2025-10-08
281,11280,Robert,Collins,United States,1969-02-17,Married,Male,2025-10-08
282,11281,Megan,Barnes,United States,1974-10-06,Single,Female,2025-10-08
283,11282,Christian,Thomas,United States,1967-07-16,Married,Male,2025-10-08
284,11283,Arturo,Lal,United States,1968-04-24,Married,Male,2025-10-08
285,11284,Theresa,Serrano,United States,1967-09-24,Married,Female,2025-10-08
286,11285,Jeremy,Anderson,United States,1973-03-15,Married,Male,2025-10-08
287,11286,Hunter,Griffin,United States,1967-08-31,Married,Male,2025-10-08
288,11287,Henry,Garcia,Canada,1966-07-16,Married,Male,2025-10-08
289,11288,Cindy,Sanchez,United States,1978-03-12,Married,Female,2025-10-08
290,11289,Maria,Carter,United States,1972-03-03,Married,Female,2025-10-08
291,11290,Katelyn,Sanchez,United States,1972-08-14,Married,Female,2025-10-08
292,11291,Jenna,Wright,United States,1972-05-01,Married,Female,2025-10-08
293,11292,Seth,Phillips,United States,1967-05-05,Single,Male,2025-10-08
294,11293,Luke,Long,United States,1960-11-23,Single,Male,2025-10-08
295,11294,Dalton,Clark,United States,1961-03-02,Married,Male,2025-10-08
296,11295,Taylor,Lewis,United States,1959-11-13,Single,Female,2025-10-08
297,11296,Haley,Richardson,United States,1941-04-05,Single,Female,2025-10-08
298,11297,Noah,Coleman,United States,1940-08-01,Single,Male,2025-10-08
299,11298,Jon,Luo,United States,1940-08-30,Married,Male,2025-10-08
300,11299,Orlando,Vazquez,United States,1941-09-29,Married,Male,2025-10-08
301,11300,Fernando,Barnes,Canada,1965-08-31,Married,Male,2025-10-08
302,11301,Cameron,Rodriguez,United States,1965-12-07,Married,Male,2025-10-08
303,11302,Spencer,Russell,United States,1971-12-09,Single,Male,2025-10-08
304,11303,Julia,Coleman,United States,1966-04-10,Single,Female,2025-10-08
305,11304,Julia,Garcia,United States,1971-03-14,Married,Female,2025-10-08
306,11305,Sean,Evans,United States,1965-12-17,Married,Male,2025-10-08
307,11306,Micah,Zhou,United States,1965-12-20,Married,Male,2025-10-08
308,11307,Hunter,Rodriguez,United States,1965-10-31,Married,Male,2025-10-08
309,11308,Ian,Gonzales,United States,1959-09-02,Married,Male,2025-10-08
310,11309,Victoria,Lewis,United States,1959-12-10,Single,Female,2025-10-08
311,11310,Erin,Sanders,United States,1964-07-05,Single,Female,2025-10-08
312,11311,Gabrielle,Lopez,United States,1959-02-21,Single,Female,2025-10-08
313,11312,Sara,Richardson,United States,1958-10-01,Single,Female,2025-10-08
314,11313,Trevor,Jenkins,United States,1958-08-27,Single,Male,2025-10-08
315,11314,Mya,Flores,United States,1970-06-16,Single,Female,2025-10-08
316,11315,Hailey,Ward,United States,1959-03-31,Single,Female,2025-10-08
317,11316,Luke,Allen,Canada,1959-05-17,Married,Male,2025-10-08
318,11317,Victoria,Russell,United States,1963-09-14,Single,Female,2025-10-08
319,11318,Jessica,Wilson,United States,1958-04-25,Single,Female,2025-10-08
320,11319,Jade,Bailey,United States,1948-04-23,Married,Female,2025-10-08
321,11320,Morgan,Hill,United States,1942-12-24,Married,Female,2025-10-08
322,11321,Terrance,Raman,United States,1944-01-05,Married,Male,2025-10-08
323,11322,Sydney,Garcia,United States,1943-09-12,Married,Female,2025-10-08
324,11323,Jose,Patterson,United States,1943-12-18,Single,Male,2025-10-08
325,11324,Zachary,Anderson,United States,1944-11-10,Married,Male,2025-10-08
326,11325,Elijah,Ross,United States,1944-12-29,Single,Male,2025-10-08
327,11326,Rafael,Xie,United States,1944-12-23,Married,Male,2025-10-08
328,11327,Jaime,Moreno,United States,1945-09-01,Married,Male,2025-10-08
329,11328,Julian,Griffin,Canada,1945-06-30,Married,Male,2025-10-08
330,11329,Andy,Alvarez,United States,1946-01-22,Single,Male,2025-10-08
331,11330,Ryan,Thompson,Canada,1945-11-10,Married,Male,2025-10-08
332,11331,Samantha,Jenkins,Canada,1974-01-03,Married,Female,2025-10-08
333,11332,Deanna,Ramos,Germany,1968-04-02,Single,Female,2025-10-08
334,11333,Emily,Miller,United Kingdom,1968-01-07,Married,Female,2025-10-08
335,11334,Nicole,Brown,United Kingdom,1966-09-19,Married,Female,2025-10-08
336,11335,Carla,Raman,Germany,1977-12-18,Married,Female,2025-10-08
337,11336,Shaun,Raji,France,1973-03-08,Married,Male,2025-10-08
338,11337,Jerome,Romero,United Kingdom,1967-03-21,Married,Male,2025-10-08
339,11338,Frank,Navarro,Germany,1972-08-06,Married,Male,2025-10-08
340,11339,Dennis,She,France,1967-01-05,Single,Male,2025-10-08
341,11340,Melody,Munoz,France,1947-04-03,Married,Female,2025-10-08
342,11341,Randy,Zeng,United Kingdom,1942-02-18,Married,Male,2025-10-08
343,11342,Marshall,Wang,France,1973-03-07,Married,Male,2025-10-08
344,11343,Arthur,Carlson,United Kingdom,1975-03-09,Married,Male,2025-10-08
345,11344,Jessie,Jimenez,United Kingdom,1963-01-21,Married,Female,2025-10-08
346,11345,Robin,Ramos,France,1962-09-09,Single,Female,2025-10-08
347,11346,Deanna,Gutierrez,France,1966-05-18,Single,Female,2025-10-08
348,11347,Roy,Navarro,Germany,1972-06-17,Married,Male,2025-10-08
349,11348,Shawn,Rai,Germany,1961-03-21,Married,Male,2025-10-08
350,11349,Mindy,Luo,Germany,1965-08-30,Married,Female,2025-10-08
351,11350,Cara,Zhou,United Kingdom,1942-07-14,Married,Female,2025-10-08
352,11351,Anne,Ramos,United Kingdom,1950-04-02,Single,Female,2025-10-08
353,11352,Raymond,Rodriguez,France,1945-09-04,Married,Male,2025-10-08
354,11353,Carrie,Ortega,United Kingdom,1946-12-09,Single,Female,2025-10-08
355,11354,Deanna,Suarez,Germany,1947-08-23,Married,Female,2025-10-08
356,11355,Roberto,Gutierrez,United Kingdom,1948-06-26,Married,Male,2025-10-08
357,11356,Terrence,Carson,Australia,1985-11-24,Single,Male,2025-10-08
358,11357,Ramon,Ye,Australia,1984-09-19,Single,Male,2025-10-08
359,11358,Cynthia,Malhotra,Australia,1984-05-10,Single,Female,2025-10-08
360,11359,Jarrod,Prasad,Australia,1984-03-03,Single,Male,2025-10-08
361,11360,Tyrone,Serrano,Australia,1984-01-30,Single,Male,2025-10-08
362,11361,Cindy,Ramos,Australia,1982-10-26,Married,Female,2025-10-08
363,11362,Damien,Shan,Australia,1983-05-11,Married,Male,2025-10-08
364,11363,Julian,Ross,Australia,1983-04-19,Single,Male,2025-10-08
365,11364,Jennifer,Collins,Australia,1985-03-22,Single,Female,2025-10-08
366,11365,Brittney,Sun,Australia,1984-12-06,Single,Female,2025-10-08
